date,open,high,low,close
2020-12-29 01:00:00.000,9.308260,9.310070,9.308160,9.309930
2020-12-29 01:01:00.000,9.311630,9.311630,9.309160,9.310270
2020-12-29 01:02:00.000,9.310460,9.311270,9.308270,9.310910
2020-12-29 01:03:00.000,9.310920,9.312300,9.309220,9.310930
2020-12-29 01:04:00.000,9.311810,9.311850,9.309220,9.309220
2020-12-29 01:06:00.000,9.310560,9.311420,9.310560,9.311420
2020-12-29 01:07:00.000,9.311660,9.313330,9.306310,9.308220
2020-12-29 01:08:00.000,9.307280,9.310800,9.307280,9.309310
2020-12-29 01:09:00.000,9.310090,9.310090,9.308330,9.308330
2020-12-29 01:10:00.000,9.307650,9.308880,9.307610,9.308530
2020-12-29 01:12:00.000,9.307530,9.312590,9.307530,9.311990
2020-12-29 01:13:00.000,9.312490,9.313100,9.311790,9.311790
2020-12-29 01:14:00.000,9.311300,9.311300,9.311300,9.311300
2020-12-29 01:15:00.000,9.311130,9.311130,9.307350,9.307790
2020-12-29 01:16:00.000,9.307510,9.307510,9.306750,9.306750
2020-12-29 01:17:00.000,9.307560,9.310240,9.306910,9.309200
2020-12-29 01:18:00.000,9.309210,9.310860,9.308140,9.309960
2020-12-29 01:19:00.000,9.309370,9.309770,9.308820,9.309770
2020-12-29 01:20:00.000,9.309160,9.309160,9.308360,9.308950
2020-12-29 01:21:00.000,9.307280,9.307280,9.307130,9.307130
2020-12-29 01:22:00.000,9.307590,9.307590,9.305870,9.306130
2020-12-29 01:25:00.000,9.304070,9.305150,9.303770,9.304130
2020-12-29 01:26:00.000,9.304270,9.305240,9.303670,9.304500
2020-12-29 01:27:00.000,9.304640,9.307950,9.304640,9.307210
2020-12-29 01:28:00.000,9.308270,9.308270,9.307610,9.307710
2020-12-29 01:29:00.000,9.308060,9.308600,9.306720,9.306720
2020-12-29 01:30:00.000,9.306040,9.306040,9.306040,9.306040
2020-12-29 01:32:00.000,9.306210,9.307370,9.303920,9.305070
2020-12-29 01:33:00.000,9.305870,9.306410,9.305090,9.305760
2020-12-29 01:34:00.000,9.305910,9.306170,9.305170,9.305390
2020-12-29 01:35:00.000,9.305130,9.306070,9.305130,9.305420
2020-12-29 01:36:00.000,9.305470,9.305470,9.304120,9.304120
2020-12-29 01:37:00.000,9.303990,9.306140,9.303990,9.304670
2020-12-29 01:38:00.000,9.304210,9.305160,9.304210,9.305110
2020-12-29 01:39:00.000,9.304880,9.307370,9.304510,9.304870
2020-12-29 01:40:00.000,9.303920,9.304390,9.303630,9.304390
2020-12-29 01:41:00.000,9.305530,9.305530,9.304510,9.304910
2020-12-29 01:42:00.000,9.304240,9.304420,9.304240,9.304400
2020-12-29 01:45:00.000,9.302930,9.303480,9.302460,9.303480
2020-12-29 01:46:00.000,9.303080,9.303160,9.303080,9.303160
2020-12-29 01:47:00.000,9.302620,9.302980,9.302620,9.302660
2020-12-29 01:48:00.000,9.302660,9.303490,9.302660,9.303010
2020-12-29 01:50:00.000,9.302400,9.302430,9.301630,9.301630
2020-12-29 01:51:00.000,9.302580,9.303240,9.301350,9.301350
2020-12-29 01:54:00.000,9.305600,9.308090,9.305600,9.306480
2020-12-29 01:55:00.000,9.306840,9.306860,9.305710,9.306440
2020-12-29 01:56:00.000,9.305670,9.305670,9.303630,9.303630
2020-12-29 01:57:00.000,9.304280,9.304280,9.304280,9.304280
2020-12-29 01:58:00.000,9.305420,9.305420,9.304350,9.304350
2020-12-29 01:59:00.000,9.305140,9.305140,9.304370,9.304370
2020-12-29 02:00:00.000,9.303980,9.303980,9.303980,9.303980
2020-12-29 02:01:00.000,9.304570,9.306150,9.304570,9.305680
2020-12-29 02:02:00.000,9.305630,9.306330,9.303080,9.303400
2020-12-29 02:03:00.000,9.303870,9.305880,9.303870,9.304140
2020-12-29 02:04:00.000,9.304190,9.307110,9.304190,9.306550
2020-12-29 02:05:00.000,9.307310,9.308830,9.306660,9.307380
2020-12-29 02:06:00.000,9.307620,9.308130,9.306390,9.306650
2020-12-29 02:07:00.000,9.307660,9.307660,9.306150,9.306230
2020-12-29 02:08:00.000,9.306610,9.306610,9.303480,9.303820
2020-12-29 02:09:00.000,9.303950,9.305740,9.303400,9.304080
2020-12-29 02:12:00.000,9.303770,9.303770,9.303350,9.303350
2020-12-29 02:14:00.000,9.302870,9.302870,9.302870,9.302870
2020-12-29 02:15:00.000,9.303050,9.303050,9.302070,9.302070
2020-12-29 02:16:00.000,9.302370,9.302370,9.301030,9.301120
2020-12-29 02:19:00.000,9.301470,9.301470,9.300880,9.300880
2020-12-29 02:20:00.000,9.304660,9.305940,9.304510,9.304510
2020-12-29 02:21:00.000,9.304500,9.304500,9.304500,9.304500
2020-12-29 02:22:00.000,9.305300,9.305680,9.298410,9.298410
2020-12-29 02:23:00.000,9.298400,9.299020,9.297800,9.298020
2020-12-29 02:24:00.000,9.300250,9.303070,9.300250,9.302680
2020-12-29 02:25:00.000,9.302740,9.302990,9.302740,9.302990
2020-12-29 02:26:00.000,9.302450,9.302450,9.298500,9.299570
2020-12-29 02:27:00.000,9.299780,9.299780,9.297250,9.297500
2020-12-29 02:28:00.000,9.297660,9.303820,9.297660,9.303820
2020-12-29 02:29:00.000,9.303750,9.306120,9.303480,9.305540
2020-12-29 02:30:00.000,9.305710,9.305710,9.301650,9.301670
2020-12-29 02:31:00.000,9.301130,9.301130,9.299940,9.300020
2020-12-29 02:32:00.000,9.299820,9.299820,9.299360,9.299360
