date,open,high,low,close
2020-12-29 01:00:00.000,5.875860,5.875860,5.874380,5.875380
2020-12-29 01:01:00.000,5.875890,5.876240,5.874080,5.874960
2020-12-29 01:02:00.000,5.874490,5.875880,5.872420,5.874020
2020-12-29 01:03:00.000,5.874530,5.875720,5.873780,5.874010
2020-12-29 01:04:00.000,5.874550,5.875380,5.873620,5.873620
2020-12-29 01:05:00.000,5.873220,5.874370,5.873220,5.874370
2020-12-29 01:06:00.000,5.874300,5.874300,5.873580,5.874010
2020-12-29 01:07:00.000,5.874420,5.875010,5.869640,5.871100
2020-12-29 01:08:00.000,5.870190,5.872370,5.870110,5.870830
2020-12-29 01:09:00.000,5.871060,5.871920,5.870790,5.870900
2020-12-29 01:10:00.000,5.871390,5.871600,5.869950,5.869950
2020-12-29 01:11:00.000,5.870150,5.871270,5.870150,5.870870
2020-12-29 01:12:00.000,5.870580,5.874960,5.869990,5.874460
2020-12-29 01:13:00.000,5.874800,5.875380,5.873840,5.873980
2020-12-29 01:14:00.000,5.874540,5.875110,5.873940,5.874170
2020-12-29 01:15:00.000,5.873920,5.874330,5.872540,5.872910
2020-12-29 01:16:00.000,5.872580,5.872760,5.872340,5.872460
2020-12-29 01:17:00.000,5.872800,5.874740,5.872800,5.874030
2020-12-29 01:18:00.000,5.874510,5.876150,5.874260,5.875140
2020-12-29 01:19:00.000,5.874910,5.875930,5.874890,5.875620
2020-12-29 01:20:00.000,5.875630,5.875860,5.874270,5.874440
2020-12-29 01:21:00.000,5.874880,5.875270,5.873800,5.873850
2020-12-29 01:22:00.000,5.873740,5.874160,5.872780,5.874070
2020-12-29 01:23:00.000,5.874600,5.874600,5.874600,5.874600
2020-12-29 01:24:00.000,5.874190,5.874190,5.874190,5.874190
2020-12-29 01:25:00.000,5.873260,5.873260,5.872220,5.872220
2020-12-29 01:26:00.000,5.872340,5.873070,5.871970,5.872110
2020-12-29 01:27:00.000,5.872310,5.874400,5.872310,5.874200
2020-12-29 01:28:00.000,5.874110,5.874740,5.874010,5.874260
2020-12-29 01:29:00.000,5.874610,5.875320,5.873510,5.873790
2020-12-29 01:30:00.000,5.874120,5.874120,5.873510,5.873630
2020-12-29 01:31:00.000,5.873420,5.873770,5.873160,5.873160
2020-12-29 01:32:00.000,5.873500,5.876100,5.872820,5.874500
2020-12-29 01:33:00.000,5.874930,5.875300,5.874200,5.874470
2020-12-29 01:34:00.000,5.874890,5.874900,5.874020,5.874280
2020-12-29 01:35:00.000,5.873940,5.873940,5.872720,5.872800
2020-12-29 01:36:00.000,5.873130,5.873580,5.872760,5.872790
2020-12-29 01:37:00.000,5.873020,5.873900,5.873020,5.873900
2020-12-29 01:38:00.000,5.873680,5.874340,5.873680,5.874300
2020-12-29 01:39:00.000,5.873930,5.875950,5.873790,5.874050
2020-12-29 01:40:00.000,5.873790,5.874000,5.873500,5.873500
2020-12-29 01:41:00.000,5.874320,5.874320,5.873520,5.873600
2020-12-29 01:42:00.000,5.874000,5.874030,5.873750,5.873940
2020-12-29 01:43:00.000,5.874280,5.874690,5.874280,5.874310
2020-12-29 01:44:00.000,5.874650,5.875070,5.874650,5.875070
2020-12-29 01:45:00.000,5.875370,5.875370,5.873880,5.874790
2020-12-29 01:46:00.000,5.874840,5.875040,5.874570,5.874660
2020-12-29 01:47:00.000,5.874250,5.874460,5.873880,5.873880
2020-12-29 01:48:00.000,5.874660,5.875260,5.874160,5.874260
2020-12-29 01:49:00.000,5.874590,5.874590,5.874590,5.874590
2020-12-29 01:50:00.000,5.874150,5.874620,5.874150,5.874280
2020-12-29 01:51:00.000,5.874000,5.874940,5.873630,5.873630
2020-12-29 01:52:00.000,5.873250,5.873590,5.872890,5.873590
2020-12-29 01:53:00.000,5.873110,5.873290,5.872390,5.873090
2020-12-29 01:54:00.000,5.872730,5.877440,5.872730,5.877090
2020-12-29 01:55:00.000,5.877190,5.878140,5.876990,5.877500
2020-12-29 01:56:00.000,5.877920,5.878020,5.875670,5.875670
2020-12-29 01:57:00.000,5.876160,5.876160,5.875760,5.875760
2020-12-29 01:58:00.000,5.875340,5.876100,5.874980,5.875530
2020-12-29 01:59:00.000,5.875040,5.875040,5.874340,5.874340
2020-12-29 02:00:00.000,5.874520,5.875150,5.873290,5.873540
2020-12-29 02:01:00.000,5.873280,5.875050,5.873280,5.874710
2020-12-29 02:02:00.000,5.874680,5.875250,5.873740,5.873740
2020-12-29 02:03:00.000,5.873890,5.875110,5.873890,5.874110
2020-12-29 02:04:00.000,5.874370,5.876130,5.874370,5.875560
2020-12-29 02:05:00.000,5.875680,5.876650,5.875350,5.875860
2020-12-29 02:06:00.000,5.875910,5.876330,5.875400,5.875400
2020-12-29 02:07:00.000,5.875960,5.876240,5.875060,5.876060
2020-12-29 02:08:00.000,5.875960,5.875960,5.874420,5.874950
2020-12-29 02:09:00.000,5.875360,5.876190,5.874350,5.874350
2020-12-29 02:10:00.000,5.874610,5.875770,5.874610,5.875770
2020-12-29 02:11:00.000,5.875810,5.875950,5.875040,5.875340
2020-12-29 02:12:00.000,5.875590,5.875620,5.875200,5.875530
2020-12-29 02:13:00.000,5.875200,5.875440,5.875200,5.875440
2020-12-29 02:14:00.000,5.875150,5.875320,5.875150,5.875320
2020-12-29 02:15:00.000,5.874960,5.875940,5.874960,5.875430
2020-12-29 02:16:00.000,5.875710,5.876190,5.875100,5.876190
2020-12-29 02:17:00.000,5.875820,5.876240,5.875820,5.876240
2020-12-29 02:19:00.000,5.876400,5.876400,5.875850,5.875850
2020-12-29 02:20:00.000,5.875600,5.878870,5.875600,5.878040
2020-12-29 02:21:00.000,5.877880,5.877900,5.877530,5.877880
2020-12-29 02:22:00.000,5.878410,5.878800,5.873870,5.874310
2020-12-29 02:23:00.000,5.873890,5.874900,5.873740,5.873740
2020-12-29 02:24:00.000,5.874060,5.877080,5.874060,5.876840
2020-12-29 02:25:00.000,5.876800,5.877180,5.876800,5.877110
2020-12-29 02:26:00.000,5.877220,5.877220,5.874390,5.875000
2020-12-29 02:27:00.000,5.875140,5.875140,5.873580,5.874610
2020-12-29 02:28:00.000,5.874720,5.879020,5.874720,5.879020
2020-12-29 02:29:00.000,5.879310,5.880700,5.878920,5.879990
2020-12-29 02:30:00.000,5.880020,5.880020,5.877530,5.877530
2020-12-29 02:31:00.000,5.877540,5.877540,5.876450,5.876710
2020-12-29 02:32:00.000,5.876660,5.877030,5.876320,5.877030
2020-12-29 02:33:00.000,5.877530,5.877530,5.875900,5.876390
2020-12-29 02:34:00.000,5.876790,5.877490,5.876450,5.876800
2020-12-29 02:35:00.000,5.877280,5.878770,5.877280,5.878650
2020-12-29 02:36:00.000,5.878840,5.879650,5.878700,5.879300
2020-12-29 02:37:00.000,5.878980,5.878980,5.876650,5.877180
2020-12-29 02:38:00.000,5.877500,5.878080,5.877100,5.877390
2020-12-29 02:39:00.000,5.877250,5.877450,5.877000,5.877290
2020-12-29 02:40:00.000,5.877000,5.877740,5.876630,5.876910
2020-12-29 02:41:00.000,5.877120,5.877910,5.876700,5.877650
2020-12-29 02:42:00.000,5.877560,5.878680,5.877450,5.878580
2020-12-29 02:43:00.000,5.878290,5.878880,5.878290,5.878880
2020-12-29 02:44:00.000,5.879210,5.879210,5.877810,5.878340
2020-12-29 02:45:00.000,5.877630,5.878560,5.877520,5.878350
2020-12-29 02:46:00.000,5.878550,5.879280,5.878550,5.879280
2020-12-29 02:47:00.000,5.878940,5.879150,5.878750,5.878750
2020-12-29 02:48:00.000,5.878950,5.879560,5.878150,5.878150
2020-12-29 02:49:00.000,5.878140,5.878810,5.877780,5.877910
2020-12-29 02:50:00.000,5.878140,5.878350,5.877370,5.877550
2020-12-29 02:51:00.000,5.877880,5.877880,5.876250,5.876250
2020-12-29 02:52:00.000,5.876910,5.877740,5.876780,5.877740
2020-12-29 02:53:00.000,5.877070,5.878070,5.876770,5.877950
2020-12-29 02:54:00.000,5.877620,5.877620,5.877110,5.877380
2020-12-29 02:55:00.000,5.877340,5.877550,5.875930,5.876150
2020-12-29 02:56:00.000,5.875140,5.877030,5.875140,5.876580
2020-12-29 02:57:00.000,5.876950,5.876950,5.876950,5.876950
2020-12-29 02:58:00.000,5.877200,5.877540,5.877090,5.877090
2020-12-29 02:59:00.000,5.876730,5.877520,5.875780,5.876770
2020-12-29 03:00:00.000,5.877030,5.877130,5.875470,5.875550
2020-12-29 03:01:00.000,5.875670,5.876900,5.874890,5.876190
2020-12-29 03:02:00.000,5.876080,5.876320,5.874840,5.875130
2020-12-29 03:03:00.000,5.874850,5.876560,5.874560,5.875900
2020-12-29 03:04:00.000,5.875640,5.875770,5.875280,5.875450
2020-12-29 03:05:00.000,5.875590,5.875980,5.875400,5.875730
2020-12-29 03:06:00.000,5.875470,5.875980,5.875450,5.875750
2020-12-29 03:07:00.000,5.875500,5.876040,5.875190,5.875470
2020-12-29 03:08:00.000,5.875560,5.875900,5.873750,5.874460
2020-12-29 03:09:00.000,5.874170,5.874170,5.870880,5.870880
2020-12-29 03:10:00.000,5.870480,5.877030,5.870480,5.874110
2020-12-29 03:11:00.000,5.874310,5.876890,5.873950,5.875820
2020-12-29 03:12:00.000,5.875850,5.877400,5.875760,5.877070
2020-12-29 03:13:00.000,5.877080,5.877290,5.874570,5.874590
2020-12-29 03:14:00.000,5.874560,5.874810,5.873810,5.874050
2020-12-29 03:15:00.000,5.874380,5.874970,5.873810,5.874690
2020-12-29 03:16:00.000,5.874690,5.875260,5.874300,5.874900
2020-12-29 03:17:00.000,5.874980,5.875450,5.874530,5.875450
2020-12-29 03:18:00.000,5.875730,5.875730,5.873910,5.874360
2020-12-29 03:19:00.000,5.874310,5.874570,5.873550,5.874190
2020-12-29 03:20:00.000,5.873820,5.873820,5.873600,5.873760
2020-12-29 03:21:00.000,5.873400,5.873880,5.873400,5.873520
2020-12-29 03:22:00.000,5.873190,5.874480,5.873190,5.873940
2020-12-29 03:23:00.000,5.873790,5.874290,5.873790,5.874290
2020-12-29 03:24:00.000,5.874020,5.874290,5.874020,5.874200
2020-12-29 03:25:00.000,5.874150,5.874180,5.873440,5.873510
