date,open,high,low,close
2020-12-29 01:00:00.000,0.888320,0.888370,0.888290,0.888290
2020-12-29 01:01:00.000,0.888290,0.888360,0.888290,0.888290
2020-12-29 01:02:00.000,0.888300,0.888300,0.888120,0.888130
2020-12-29 01:03:00.000,0.888140,0.888140,0.887970,0.887990
2020-12-29 01:04:00.000,0.888000,0.888130,0.887960,0.888130
2020-12-29 01:05:00.000,0.888180,0.888280,0.888160,0.888260
2020-12-29 01:06:00.000,0.888260,0.888260,0.887940,0.887940
2020-12-29 01:07:00.000,0.887910,0.887930,0.887850,0.887910
2020-12-29 01:08:00.000,0.887850,0.887850,0.887700,0.887720
2020-12-29 01:09:00.000,0.887730,0.887800,0.887720,0.887780
2020-12-29 01:10:00.000,0.887800,0.887850,0.887790,0.887850
2020-12-29 01:11:00.000,0.887930,0.887930,0.887800,0.887800
2020-12-29 01:12:00.000,0.887790,0.887800,0.887780,0.887780
2020-12-29 01:13:00.000,0.887780,0.887780,0.887610,0.887690
2020-12-29 01:14:00.000,0.887740,0.887770,0.887740,0.887770
2020-12-29 01:15:00.000,0.887810,0.887880,0.887800,0.887880
2020-12-29 01:16:00.000,0.887880,0.887950,0.887840,0.887840
2020-12-29 01:17:00.000,0.887840,0.887920,0.887820,0.887820
2020-12-29 01:18:00.000,0.887820,0.887850,0.887790,0.887850
2020-12-29 01:19:00.000,0.887860,0.888030,0.887840,0.888020
2020-12-29 01:20:00.000,0.888020,0.888030,0.887970,0.887990
2020-12-29 01:21:00.000,0.887990,0.888020,0.887990,0.888020
2020-12-29 01:22:00.000,0.888020,0.888090,0.888020,0.888060
2020-12-29 01:23:00.000,0.888050,0.888090,0.888030,0.888080
2020-12-29 01:24:00.000,0.888080,0.888100,0.888080,0.888100
2020-12-29 01:25:00.000,0.888080,0.888080,0.888040,0.888040
2020-12-29 01:26:00.000,0.888050,0.888050,0.888040,0.888050
2020-12-29 01:27:00.000,0.888060,0.888060,0.888050,0.888050
2020-12-29 01:28:00.000,0.888020,0.888020,0.888000,0.888020
2020-12-29 01:29:00.000,0.888010,0.888060,0.888010,0.888020
2020-12-29 01:30:00.000,0.888020,0.888030,0.887910,0.887910
2020-12-29 01:31:00.000,0.887900,0.887920,0.887890,0.887890
2020-12-29 01:32:00.000,0.887910,0.887950,0.887880,0.887890
2020-12-29 01:33:00.000,0.887900,0.887900,0.887720,0.887740
2020-12-29 01:34:00.000,0.887730,0.887790,0.887680,0.887680
2020-12-29 01:35:00.000,0.887670,0.887680,0.887520,0.887530
2020-12-29 01:36:00.000,0.887540,0.887740,0.887530,0.887700
2020-12-29 01:37:00.000,0.887690,0.887690,0.887590,0.887610
2020-12-29 01:38:00.000,0.887540,0.887620,0.887530,0.887610
2020-12-29 01:39:00.000,0.887620,0.887680,0.887620,0.887620
2020-12-29 01:40:00.000,0.887610,0.887620,0.887530,0.887610
2020-12-29 01:41:00.000,0.887620,0.887640,0.887600,0.887610
2020-12-29 01:42:00.000,0.887640,0.887670,0.887640,0.887670
2020-12-29 01:43:00.000,0.887670,0.887700,0.887630,0.887700
2020-12-29 01:44:00.000,0.887770,0.887860,0.887770,0.887860
2020-12-29 01:45:00.000,0.887860,0.887940,0.887860,0.887930
2020-12-29 01:46:00.000,0.887940,0.887980,0.887900,0.887910
2020-12-29 01:47:00.000,0.887910,0.888030,0.887900,0.888030
2020-12-29 01:48:00.000,0.888020,0.888070,0.888020,0.888060
2020-12-29 01:49:00.000,0.888060,0.888070,0.888040,0.888060
2020-12-29 01:50:00.000,0.888050,0.888240,0.888040,0.888230
2020-12-29 01:51:00.000,0.888230,0.888250,0.888210,0.888210
2020-12-29 01:52:00.000,0.888200,0.888280,0.888170,0.888280
2020-12-29 01:53:00.000,0.888280,0.888400,0.888270,0.888270
2020-12-29 01:54:00.000,0.888270,0.888320,0.888020,0.888030
2020-12-29 01:55:00.000,0.888020,0.888160,0.888000,0.888160
2020-12-29 01:56:00.000,0.888160,0.888160,0.888060,0.888120
2020-12-29 01:57:00.000,0.888120,0.888120,0.888110,0.888110
2020-12-29 01:58:00.000,0.888100,0.888130,0.888100,0.888130
2020-12-29 01:59:00.000,0.888140,0.888140,0.888020,0.888140
2020-12-29 02:00:00.000,0.888110,0.888110,0.888020,0.888050
2020-12-29 02:01:00.000,0.888050,0.888050,0.887880,0.887980
2020-12-29 02:02:00.000,0.887990,0.888090,0.887990,0.888040
2020-12-29 02:03:00.000,0.888040,0.888100,0.888040,0.888100
2020-12-29 02:04:00.000,0.888100,0.888100,0.888090,0.888090
2020-12-29 02:05:00.000,0.888090,0.888090,0.888010,0.888010
2020-12-29 02:06:00.000,0.887970,0.888040,0.887940,0.888020
2020-12-29 02:07:00.000,0.887970,0.888040,0.887970,0.888040
2020-12-29 02:08:00.000,0.888040,0.888040,0.888010,0.888020
2020-12-29 02:09:00.000,0.888020,0.888020,0.887950,0.887950
2020-12-29 02:10:00.000,0.887960,0.887960,0.887860,0.887860
2020-12-29 02:11:00.000,0.887860,0.888080,0.887860,0.888080
2020-12-29 02:12:00.000,0.888080,0.888090,0.887990,0.888070
2020-12-29 02:13:00.000,0.888080,0.888100,0.888070,0.888100
2020-12-29 02:14:00.000,0.888110,0.888130,0.888090,0.888130
2020-12-29 02:15:00.000,0.888110,0.888170,0.888110,0.888170
2020-12-29 02:16:00.000,0.888150,0.888170,0.888100,0.888100
2020-12-29 02:17:00.000,0.888100,0.888140,0.888100,0.888120
2020-12-29 02:18:00.000,0.888120,0.888120,0.888120,0.888120
2020-12-29 02:19:00.000,0.888120,0.888120,0.888120,0.888120
2020-12-29 02:20:00.000,0.888120,0.888120,0.888020,0.888020
2020-12-29 02:21:00.000,0.888010,0.888020,0.887990,0.888000
2020-12-29 02:22:00.000,0.888000,0.888010,0.887980,0.888010
2020-12-29 02:23:00.000,0.888010,0.888130,0.888010,0.888130
2020-12-29 02:24:00.000,0.888130,0.888160,0.888110,0.888130
2020-12-29 02:25:00.000,0.888140,0.888160,0.888110,0.888160
2020-12-29 02:26:00.000,0.888140,0.888160,0.888120,0.888120
2020-12-29 02:27:00.000,0.888140,0.888170,0.888110,0.888170
2020-12-29 02:28:00.000,0.888170,0.888170,0.888100,0.888100
2020-12-29 02:29:00.000,0.888130,0.888170,0.888130,0.888170
2020-12-29 02:30:00.000,0.888170,0.888170,0.888170,0.888170
2020-12-29 02:31:00.000,0.888170,0.888250,0.888170,0.888250
2020-12-29 02:32:00.000,0.888250,0.888320,0.888250,0.888320
2020-12-29 02:33:00.000,0.888280,0.888310,0.888250,0.888290
2020-12-29 02:34:00.000,0.888270,0.888300,0.888250,0.888250
2020-12-29 02:35:00.000,0.888250,0.888300,0.888250,0.888250
2020-12-29 02:36:00.000,0.888280,0.888280,0.888190,0.888190
2020-12-29 02:37:00.000,0.888190,0.888240,0.888190,0.888240
2020-12-29 02:38:00.000,0.888240,0.888240,0.888230,0.888240
2020-12-29 02:39:00.000,0.888240,0.888240,0.888180,0.888180
2020-12-29 02:40:00.000,0.888170,0.888240,0.888170,0.888240
2020-12-29 02:41:00.000,0.888240,0.888260,0.888240,0.888260
2020-12-29 02:42:00.000,0.888260,0.888260,0.888190,0.888190
2020-12-29 02:43:00.000,0.888190,0.888190,0.888180,0.888180
