Date,USD,EUR,JPY,GBP,CHF,CAD,NZD,AUD,SEK
2021-01-25,46.34388798237337,42.88436999617633,45.90946687934707,54.29295166712095,48.903333059781254,51.44365640649595,51.65300385965526,54.37637781700863,50.37916230044134
2021-01-22,46.34388798237336,42.88436999617634,45.90946687934707,54.29295166712097,48.90333305978125,51.44365640649594,51.65300385965526,54.37637781700863,50.37916230044134
2021-01-21,44.22660553311742,30.66681659199861,48.16717091550191,53.74911729782045,45.88241818413114,63.75047533834193,57.405435063838596,66.31186628817268,46.367719449801065
2021-01-20,51.62054444320476,32.49621613232823,51.75732665032663,56.6340526525051,49.64962198122461,61.90717014488576,50.71879869749729,65.24782932480468,39.2340082234851
2021-01-19,47.96613528083448,36.79556161007738,46.50065046022493,53.28407441635492,50.30551332683272,55.73825544311456,46.503489506231226,61.751326684072204,46.973693394340415
2021-01-18,54.02157739250207,33.38256922738496,57.777646157965584,51.85452199017459,56.9897490733985,55.55930428028715,47.14322558165763,59.6395633411633,34.07955247652173
2021-01-15,49.034671907621274,32.83863898088681,51.45223805067433,52.88427201314712,51.825801755306436,58.9006917784332,55.176166189111655,66.6029192169315,36.9313260231879
2021-01-14,51.47898896272731,30.186810157290452,44.328607733359064,52.43272910633989,42.29154251791178,69.07319496459378,62.35443443186342,75.29530568363054,38.78889424992744
2021-01-13,49.49241123028419,35.68697668176583,45.62193709502934,57.36606043585974,46.54312353161365,61.54487960170395,57.58648893116992,72.15298008410092,38.659079098529155
2021-01-12,50.03487677403842,37.63209627738797,38.9891644403417,53.54764966184228,42.28356383251479,59.039839944686356,58.76929128955566,71.6238207903023,46.20632791735791
2021-01-11,52.756546568464216,42.564815526184915,39.538773192430384,46.85194469455087,37.66238254919225,58.43911251849544,64.19860750008485,70.9836877347879,51.68506480598222
2021-01-08,40.85486245285434,41.175735029907564,31.2536948038763,47.79831912806599,38.144411181021376,57.7414079152301,67.24971471819515,73.2270526708969,57.760120508444174
2021-01-07,39.22750156798729,45.51292116242573,33.13720431876199,49.85281952528303,38.93740228836562,52.91766939860228,66.86433957022615,70.24546092704583,59.871230731419395
2021-01-06,29.008029686944226,49.27616648281438,35.12743007632545,46.71307947654884,42.90511094462397,46.82121545650418,66.32457642122637,71.47122622267145,63.377436430287524
2021-01-05,33.28169779902062,49.87294030871819,41.21124168212661,50.32165733214445,44.74563719455701,42.1688712645442,58.37128112816408,65.04231276995574,63.60544092430806
2021-01-04,29.56614091993552,48.3393735126647,39.0628342947317,51.6085995696035,46.4548236242651,46.75077807375564,57.34619999668141,66.4357024151584,59.89260450520791
2021-01-01,30.71645567103573,46.650638141450486,34.450822805314004,53.628668327459586,40.57255039404716,42.886672057272214,62.89929433225575,67.6409479417194,67.50502745900883
2020-12-31,30.71645567103573,46.650638141450486,34.450822805314004,53.628668327459586,40.57255039404716,42.886672057272214,62.89929433225575,67.6409479417194,67.50502745900883
2020-12-30,34.397188186193134,54.28954710141627,36.59577748192029,53.6219205800841,35.68308461425298,43.69790991518084,62.39389352907356,64.7568539271164,69.14718750170458
2020-12-29,37.08405091336644,58.808311038802096,32.03355947045931,50.35666933275966,38.53081930404749,43.484194544826146,57.59361761070734,60.01943127933755,68.55334076218472
2020-12-28,39.87626093684447,55.3423782203059,36.946601914481114,52.65550522089431,39.255517054568614,45.68176223207156,57.2382452205431,62.11651366298332,64.31587953631922
2020-12-25,41.61135317460551,51.81561348121412,34.8094137528613,56.87165798932978,34.49059467460562,46.87854936434554,56.21734435834327,65.47430091073646,65.70346279194737
2020-12-24,41.61135317460551,51.81561348121411,34.8094137528613,56.87165798932979,34.49059467460562,46.87854936434554,56.21734435834327,65.47430091073646,65.70346279194737
2020-12-23,43.70037862046886,56.250833585573396,40.96626079702971,51.29406014366097,39.86104141381672,44.18020653259454,53.518161758690454,60.82025942110299,63.80628229756101
2020-12-22,35.52369916478516,64.85590074897182,36.665696650986234,50.80441791754832,42.18204755248461,35.99484700636431,49.69397025736168,57.80814763713916,71.77064817832076
2020-12-21,38.574963171897686,62.79582863733586,41.27253339292334,45.37079058567212,46.57052186360582,38.05510168393456,46.805423548488996,54.811967079568085,69.84559363048542
2020-12-18,28.045905998937258,58.749890560596285,30.431471466617666,49.83437298707828,39.037045164738096,45.18380277063693,55.46495150952505,66.49500242505637,68.53364756590125
2020-12-17,24.171847071973872,49.881568997734455,32.371944625774105,52.69822397614511,39.348458013703286,50.67520282634906,60.04378146089097,67.73680590140773,65.31134024164601
2020-12-16,26.23043958017928,49.884500220763876,35.98814241326009,53.45888968835102,46.84460545354359,45.45708513949119,53.61103254268573,63.03162478283799,60.58724449665301
2020-12-15,27.956315446739907,47.82376714057412,36.143393717266505,45.2519373882061,51.57985076661157,51.522630013501015,51.46770685278011,60.837770398024425,59.29994074073377
2020-12-14,24.9386936569623,47.01490739938375,35.02787078976975,45.73346858309712,49.86727405077307,52.010032055054545,57.06501340983537,66.1345632180385,58.911064957982134
2020-12-11,28.228896149777796,52.94781295267084,38.19914448024071,31.903313258726143,56.93409716743572,52.85330779882306,58.16745576581444,65.39404125792275,55.95482247053517
2020-12-10,24.9954413267087,48.00196754380904,31.121682670415424,38.48056850547737,59.19086917187196,52.00912339904176,51.07273423368372,59.371120804848275,55.04604124000632
2020-12-09,25.99201775760386,45.24864456079065,34.89929423107871,48.26130626713222,58.09050218452185,51.41178949354577,57.56724319771813,57.846601569318665,48.37064240441113
