Date,USD,EUR,JPY,GBP,CHF,CAD,NZD,AUD,SEK
2021-01-07 07:30:00,66.48539184771079,31.546466703736144,47.69091268986455,45.387307664182636,49.83477279716069,53.67343875398282,30.033166567617684,44.18839322395355,40.21418035713332
2021-01-07 07:25:00,65.0193046340038,38.167352401234666,54.75926305878934,48.39650922243465,56.67334440418012,50.748312643467806,32.62038972880676,40.719588750036785,43.40807847806573
2021-01-07 07:20:00,63.45809865820497,38.65330480826994,47.85594862699237,45.022897267293956,58.35985956789805,50.696303860909424,36.26691039203654,34.47812145077924,41.74930615704184
2021-01-07 07:15:00,60.28495018553749,38.9513123768032,55.90877995715861,41.38343655109639,59.90709588705626,50.57193788393269,36.15213308101786,47.52621369531583,44.68025107846847
2021-01-07 07:10:00,57.52901602769999,32.35089643875389,55.9204347104915,39.01234773359773,64.53790854367955,53.29036675312018,32.66010816858049,42.737822936673794,44.23531915649542
2021-01-07 07:05:00,53.26068124273534,35.6050927690502,55.03088150938682,44.851638438075994,61.387542126004064,50.963221493952204,45.79891714811379,42.88205933924683,45.93389941251452
2021-01-07 07:00:00,56.613565618951206,42.88632272001053,54.67271043680932,46.11815805536802,61.520125576512285,50.625012827769204,46.53310595657852,43.45128297004136,39.31512531448622
2021-01-07 06:55:00,42.40240022315182,46.64451602801578,54.22739103621742,52.80114107840486,50.880973496246654,53.07406661906094,46.02864815283858,53.6025400714662,44.129621586207506
2021-01-07 06:50:00,53.750476840142916,46.7197176901355,46.91976463713326,51.965757820815334,45.323594499808685,52.807836323884985,45.83473839347409,53.74761579422242,55.41362880045251
2021-01-07 06:45:00,52.394376038293245,47.32642759393394,54.242142900640296,57.61478868815473,46.85584846463969,50.86096426906205,51.00827673944774,57.905308990515735,54.26336691729631
2021-01-07 06:40:00,46.42801573878202,42.00592306989315,54.67733573034708,52.99750556788985,46.73003309400242,52.83827316014706,55.52815775640248,58.91287699692922,50.53010905959496
2021-01-07 06:35:00,49.31532836818813,46.32813496108059,46.90106839464302,55.94073433005781,40.105639034518354,51.284822103502904,59.71191994699239,58.180826971594215,50.21212480182682
2021-01-07 06:30:00,52.159276344350324,45.01931747852133,55.18041433547648,60.61835725619963,41.798963627071764,49.57131537070225,59.60135162207038,56.35727278241664,48.23478324021979
2021-01-07 06:25:00,49.62767279580225,47.2248801798768,55.430399176871965,62.24618086172639,43.87129401512696,31.73643488880309,61.20065636944769,52.58908931361306,46.252794826120905
2021-01-07 06:20:00,44.267233075155985,47.85934955736668,46.663292936737335,61.285712344293614,45.69068993938861,50.241660076470055,58.65463498873818,53.06142426524119,48.87756905753624
2021-01-07 06:15:00,43.830203851818155,49.64654005572613,46.36578642756969,57.935424264739225,50.47538148013776,47.297931710069584,61.47703675255829,43.57715991945103,51.39951146408854
2021-01-07 06:10:00,44.9984045667072,52.89154732101448,46.09630525953677,57.84200511257158,50.87481411352818,49.66406316612429,56.54968075964541,49.5616786608105,51.75772300688551
2021-01-07 06:05:00,45.34581959047166,47.8718335738308,47.03469557011741,55.850225414835116,48.21705803998806,49.88438330179958,52.410422423285134,46.510873495474236,58.23247953706098
2021-01-07 06:00:00,48.17936359970486,48.5285245997721,48.133712947236894,53.86306404791719,49.93654056579033,50.09510986625995,54.905214086524666,51.77045254945773,55.95679925389605
2021-01-07 05:55:00,44.64646350795083,45.51486443141397,55.39692817840615,52.339198333132934,53.87458107350593,50.081232467300595,48.98112478759703,49.96016866173417,54.08617385792437
2021-01-07 05:50:00,51.19373500100556,43.70855829096482,48.763545856377384,48.56988221619836,46.850108521813326,50.15254449892614,51.73420459548648,41.937708294465104,55.22970212130893
2021-01-07 05:45:00,48.478024333723745,50.331706133420845,57.647965380663464,44.8326537778695,59.29665885783726,48.349106848738,51.640949566771155,41.78668586560346,50.09843916344464
2021-01-07 05:40:00,48.96187480795349,49.18098490927583,57.3226257143786,46.799577733247716,59.16971493853515,48.12751703992956,44.68105700884504,45.36493572752927,51.776472089260935
2021-01-07 05:35:00,49.126304255106575,53.33510932995449,48.71983227618568,42.87695461505386,60.73917186783899,48.197547859134694,44.10053477136253,44.31266335267553,55.065805881509434
2021-01-07 05:30:00,48.69102249747481,50.480604171784634,48.14254173242534,41.337530318712275,61.014482937646406,52.04635112375357,45.10013035561629,43.2047895913985,56.71275484938445
2021-01-07 05:25:00,48.927684590107106,55.591077841193794,57.80996435796493,35.48058108205244,55.533194488545846,52.13078940889105,47.811328579981556,46.869328933418316,53.38803372422399
2021-01-07 05:20:00,48.65688356776403,55.383402811291404,48.600318953236275,36.372850686695195,54.63188027569433,50.3947170059007,50.438977928230514,50.315104044022306,51.93409119016163
2021-01-07 05:15:00,53.42861929323055,51.984830341314215,48.292359013450906,40.174790767688705,49.28410220153399,48.62305098875311,50.38250803012115,49.56229423398987,48.666252975109266
2021-01-07 05:10:00,53.46041774933803,55.28242385080914,59.52883149104471,35.273033201634675,53.410951236600596,34.01442532039141,51.2599989869398,46.756459822449685,53.117848125662974
2021-01-07 05:05:00,53.35303572774299,53.498810646688185,47.71653986616264,31.3574088047678,57.16114558118194,54.229237885259415,54.054310316352066,48.735855815984586,56.67296617529583
2021-01-07 05:00:00,51.721965612899595,49.102210047183206,46.8694299648299,32.47112412832634,55.00707854937272,51.71181564791853,53.70796688989804,47.87501098924023,53.95915681475358
2021-01-07 04:55:00,53.44943753111057,48.46148457468384,45.36843792085078,32.02685620997188,53.90997351528677,58.13370923022724,56.66271817452107,50.464458685431616,49.15742253144642
